geography,geography code,Country of Birth: All categories: Country of birth; measures: Value,UK,Ireland ,Europe,EU (ex.Ireland),Germany,Lithuania,Poland,Romania,Africa,Middle East and Asia
Berwick-upon-Tweed,E14000554,75718,73315,177,1102,1039,292,49,281,12,288,486
Bishop Auckland,E14000569,87143,85041,157,981,926,354,9,219,25,242,465
Blaydon,E14000574,88281,86025,130,883,803,229,13,199,12,335,673
Blyth Valley,E14000575,82174,80262,121,863,789,315,40,128,11,226,492
City of Durham,E14000641,94375,87713,295,2202,1936,542,38,270,45,723,2369
Darlington,E14000658,91417,86356,230,2414,2318,706,118,870,102,448,1548
Easington,E14000677,82769,80951,95,966,911,297,141,213,13,198,419
Gateshead,E14000709,94506,87393,250,2660,2336,306,67,918,80,994,2738
Hartlepool,E14000733,92028,89469,145,929,869,256,11,320,16,336,949
Hexham,E14000746,76236,73589,182,894,805,243,11,131,27,375,712
Houghton and Sunderland South,E14000754,87002,85278,87,627,578,235,3,124,12,248,600
Jarrow,E14000765,83260,81258,109,662,583,246,8,102,4,228,824
Middlesbrough,E14000819,93865,83922,340,2211,1993,335,121,546,46,1603,5577
Middlesbrough South and East Cleveland,E14000820,92826,90318,179,859,772,274,6,118,26,407,807
Newcastle upon Tyne Central,E14000831,93693,73486,305,3999,3449,418,173,725,155,2954,12314
Newcastle upon Tyne East,E14000832,95589,83899,376,3179,2747,521,92,511,77,1712,5500
Newcastle upon Tyne North,E14000833,90895,85213,261,1486,1276,418,24,237,18,874,2609
North Durham,E14000840,86883,85003,118,785,738,302,12,127,6,219,533
North Tyneside,E14000853,102042,98057,168,1442,1244,325,27,312,50,615,1449
North West Durham,E14000856,92119,89624,150,1309,1239,303,11,625,11,293,459
Redcar,E14000891,86898,84960,244,778,698,291,12,105,17,221,495
Sedgefield,E14000915,84100,81916,133,1072,1019,406,19,303,13,235,481
South Shields,E14000944,82294,78838,109,792,695,230,30,116,33,407,1926
Stockton North,E14000970,92033,88431,232,989,909,327,10,206,42,705,1420
Stockton South,E14000971,99577,94338,233,1234,1109,401,14,187,39,705,2676
Sunderland Central,E14000982,99885,92468,291,1536,1414,266,54,408,22,1046,4229
Tynemouth,E14001006,98759,94798,232,1307,1151,376,27,149,14,477,1456
Wansbeck,E14001014,81900,79937,126,769,700,296,19,126,19,216,592
Washington and Sunderland West,E14001020,88619,86455,111,863,791,287,56,183,23,317,704
Altrincham and Sale West,E14000532,96591,87401,1262,2524,2242,384,19,619,59,986,3456
Ashton-under-Lyne,E14000537,90484,82095,577,2127,1970,195,11,1097,42,1399,3978
