geography,geography code,Working Age Pop,Economically active,Employed,Unemployed,Full-time student,Never worked,Long-term unemployed
Berwick-upon-Tweed,E14000554,56276,37816,34476,2286,1054,249,851
Bishop Auckland,E14000569,64422,41869,37683,2977,1209,529,1178
Blaydon,E14000574,64923,44321,39915,2685,1721,394,1034
Blyth Valley,E14000575,61181,41577,37007,3051,1519,447,1218
City of Durham,E14000641,73896,43755,37743,2411,3601,401,959
Darlington,E14000658,66190,46018,40591,3732,1695,593,1516
Easington,E14000677,61056,38462,33830,3277,1355,647,1262
Gateshead,E14000709,70470,47054,40945,4186,1923,743,1686
Hartlepool,E14000733,66804,43513,36532,5194,1787,969,2089
Hexham,E14000746,55819,38765,35991,1526,1248,174,579
Houghton and Sunderland South,E14000754,64291,41901,36887,3430,1584,621,1337
Jarrow,E14000765,61131,41641,36473,3501,1667,567,1382
Middlesbrough,E14000819,68251,41991,32845,5715,3431,1371,2315
Middlesbrough South and East Cleveland,E14000820,67850,44182,38433,3995,1754,723,1653
Newcastle upon Tyne Central,E14000831,69266,42109,33952,4163,3994,1035,1637
Newcastle upon Tyne East,E14000832,77769,46812,34799,3629,8384,734,1398
Newcastle upon Tyne North,E14000833,65829,44927,40027,2860,2040,467,1084
North Durham,E14000840,64703,43523,38869,3075,1579,545,1240
North Tyneside,E14000853,75995,53720,47397,4243,2080,661,1783
North West Durham,E14000856,68240,46035,41744,2867,1424,444,1148
Redcar,E14000891,63627,40939,34815,4454,1670,840,1794
Sedgefield,E14000915,61924,40882,36853,2676,1353,459,1034
South Shields,E14000944,60536,39813,33750,4192,1871,771,1682
Stockton North,E14000970,67112,44301,37844,4626,1831,883,1968
Stockton South,E14000971,73542,51958,46094,3449,2415,581,1377
Sunderland Central,E14000982,75066,48740,40566,4623,3551,976,1767
Tynemouth,E14001006,71894,50522,45402,3061,2059,378,1182
Wansbeck,E14001014,59948,40110,35337,3466,1307,665,1380
Washington and Sunderland West,E14001020,66195,44826,39109,3963,1754,752,1574
Altrincham and Sale West,E14000532,69014,50636,46643,2098,1895,217,814
Ashton-under-Lyne,E14000537,66539,45196,40021,3399,1776,514,1382
Barrow and Furness,E14000543,65815,43876,39625,2766,1485,387,1017
Birkenhead,E14000559,64665,41686,35640,4442,1604,792,1952
Blackburn,E14000570,74626,45889,39098,4363,2428,924,1761
Blackley and Broughton,E14000571,77907,48083,39408,5320,3355,1281,2021
Blackpool North and Cleveleys,E14000572,60126,39412,34565,3037,1810,323,1245
Blackpool South,E14000573,59779,39629,33988,3814,1827,520,1507
Bolton North East,E14000578,69244,45662,39870,3636,2156,635,1470
Bolton South East,E14000579,72548,47102,40473,4213,2416,865,1717
Bolton West,E14000580,69893,49352,44627,2787,1938,411,1056
Bootle,E14000581,72196,48022,40594,5166,2262,921,2249
Burnley,E14000609,63376,41879,36907,3342,1630,527,1352
Bury North,E14000611,63853,44510,40119,2687,1704,477,991
Bury South,E14000612,70834,50170,45172,3082,1916,491,1215
Carlisle,E14000620,63615,45643,40962,2426,2255,295,963
Cheadle,E14000627,65139,46081,42196,1871,2014,187,700
Chorley,E14000637,70407,50598,46369,2405,1824,285,914
City of Chester,E14000640,69629,48858,43035,2422,3401,247,933
Congleton,E14000646,67797,47146,43371,2095,1680,224,825
Copeland,E14000647,60244,40680,37223,2386,1071,416,860
Crewe and Nantwich,E14000653,78699,55447,49440,3123,2884,409,1275
Denton and Reddish,E14000661,63408,44937,40391,2921,1625,441,1156
Eddisbury,E14000686,62580,43497,39719,2082,1696,281,741
Ellesmere Port and Neston,E14000688,64039,44678,40177,2535,1966,305,973
Fylde,E14000706,59057,39942,36493,1790,1659,161,659
Garston and Halewood,E14000708,71482,47335,40785,4439,2111,798,1763
Halton,E14000725,69996,47952,42134,3914,1904,617,1513
Hazel Grove,E14000738,57080,39823,36428,1931,1464,195,736
Heywood and Middleton,E14000747,75991,52241,46045,4262,1934,628,1669
Hyndburn,E14000758,66827,44940,39913,3040,1987,499,1131
Knowsley,E14000775,75451,48682,41185,5171,2326,1030,2144
Lancaster and Fleetwood,E14000776,66158,41273,34580,2128,4565,269,817
Leigh,E14000785,76775,53568,47903,3637,2028,532,1492
"Liverpool, Riverside",E14000793,95914,56528,41183,5465,9880,1082,2204
"Liverpool, Walton",E14000794,68605,43465,35704,5509,2252,1094,2384
"Liverpool, Wavertree",E14000795,69659,45642,37053,4631,3958,934,1855
"Liverpool, West Derby",E14000796,65966,43685,36603,4801,2281,966,2006
Macclesfield,E14000802,68502,49105,45350,2044,1711,218,785
