date,geography,geography code,Ethnic Group: All categories: Ethnic group; measures: Value,Ethnic Group: White; measures: Value,Ethnic Group: Gypsy / Traveller / Irish Traveller; measures: Value,Ethnic Group: Mixed / Multiple ethnic group; measures: Value,Ethnic Group: Asian / Asian British: Indian; measures: Value,Ethnic Group: Asian / Asian British: Pakistani; measures: Value,Ethnic Group: Asian / Asian British: Bangladeshi; measures: Value,Ethnic Group: Asian / Asian British: Chinese; measures: Value,Ethnic Group: Asian / Asian British: Other Asian; measures: Value,Ethnic Group: Black / African / Caribbean / Black British; measures: Value,Ethnic Group: Other Ethnic Group; measures: Value,Ethnic Group: Non White,Percentage of non-Whites
2011,Berwick-upon-Tweed,E14000554,75718,74648,50,373,131,64,40,102,109,141,60,1070,0.014
2011,Bishop Auckland,E14000569,87143,85935,123,461,147,62,21,117,108,93,76,1208,0.014
2011,Blaydon,E14000574,88281,86665,27,504,245,130,31,195,172,160,152,1616,0.018
2011,Blyth Valley,E14000575,82174,81061,10,442,199,54,85,115,117,47,44,1113,0.014
2011,City of Durham,E14000641,94375,90029,106,994,616,171,69,957,603,337,493,4346,0.046
2011,Darlington,E14000658,91417,87428,326,1033,675,140,504,316,424,340,231,3989,0.044
2011,Easington,E14000677,82769,81637,53,404,209,93,38,100,97,58,80,1132,0.014
2011,Gateshead,E14000709,94506,89023,53,959,613,456,187,817,617,872,909,5483,0.058
2011,Hartlepool,E14000733,92028,89859,40,550,266,291,214,229,304,170,105,2169,0.024
2011,Hexham,E14000746,76236,74693,21,478,406,128,66,123,161,70,90,1543,0.020
2011,Houghton and Sunderland South,E14000754,87002,85581,34,370,226,100,60,182,149,156,144,1421,0.016
2011,Jarrow,E14000765,83260,81240,12,519,320,114,227,167,255,149,257,2020,0.024
2011,Middlesbrough,E14000819,93865,79155,62,1836,1223,6499,210,828,1180,1494,1378,14710,0.157
2011,Middlesbrough South and East Cleveland,E14000820,92826,90483,50,784,282,369,54,142,224,271,167,2343,0.025
2011,Newcastle upon Tyne Central,E14000831,93693,69460,78,1881,2783,4939,3811,2729,2993,2785,2234,24233,0.259
2011,Newcastle upon Tyne East,E14000832,95589,84683,70,1526,1337,997,500,2600,1279,1752,845,10906,0.114
