date,geography,geography code,Industry: All categories: Industry; measures: Value,A,B,Primary,Pct_primary ,C,D,E,F,G,Manufacturing ,Pct_manufactoring ,H,I,J,Manufacturing: Tech,Pct_M.tech,K,L,Utilities,Pct_utilities,Construction,Pct_construction,M,N,O,Low End Services,Pct_L_Services,P,Q,R,S,T,High End Services,Pct_H_Services,U,V,W,Government,Pct_Govt,Arts,Pct_Arts,X,Y,Other,Pct_Other
2011,Berwick-upon-Tweed,E14000554,35352,1890,246,2136,0.06042091,2704,804,66,262,265,4101,0.116004752,426,335,546,1307,0.036971034,203,249,452,0.012785698,2977,0.084210229,5277,1296,2871,9444,0.267141887,590,551,528,1788,1270,4727,0.133712378,3347,2973,4735,11055,0.312712152,1819,0.051453949,28,10,38,0.001074904
2011,Bishop Auckland,E14000569,38649,889,151,1040,0.026908846,5708,236,182,261,1316,7703,0.19930658,1056,1669,988,3713,0.096069756,144,322,466,0.012057233,3707,0.095914513,5827,1624,2112,9563,0.247432016,671,673,437,1469,1411,4661,0.120598204,2735,3627,5444,11806,0.305467153,1679,0.043442262,17,2,19,0.000491604
2011,Blaydon,E14000574,41256,110,91,201,0.004872019,4284,340,93,188,531,5436,0.131762653,983,1126,1023,3132,0.07591623,331,256,587,0.014228233,3390,0.082169866,7208,2085,1958,11251,0.272711848,1221,1255,571,1982,1782,6811,0.165091138,3443,3865,5707,13015,0.315469265,1701,0.041230366,9,7,16,0.000387822
2011,Blyth Valley,E14000575,38178,114,153,267,0.006993556,4387,270,117,105,996,5875,0.153884436,666,961,1272,2899,0.075933784,270,256,526,0.013777568,3205,0.083948871,6087,1825,1866,9778,0.256116088,1195,1233,501,1573,1734,6236,0.163340144,4044,2955,5195,12194,0.319398607,1568,0.041070774,10,7,17,0.000445283
2011,City of Durham,E14000641,40719,175,114,289,0.007097424,3246,490,67,78,435,4316,0.105994744,483,992,701,2176,0.053439426,283,440,723,0.017755839,2890,0.070974238,5436,1412,2724,9572,0.235074535,897,783,424,1942,1542,5588,0.137233233,4480,6920,5040,16440,0.403742725,1933,0.047471696,26,12,38,0.000933225
2011,Darlington,E14000658,41901,97,85,182,0.004343572,4204,420,94,212,580,5510,0.131500442,830,1112,956,2898,0.069163027,148,239,387,0.009236056,3226,0.076991003,7164,2231,2378,11773,0.280971815,1933,1663,411,1753,1856,7616,0.181761772,3172,3389,6259,12820,0.305959285,1676,0.039999045,12,5,17,0.000405718
2011,Easington,E14000677,34821,148,172,320,0.009189857,5331,972,177,113,482,7075,0.203181988,632,2148,807,3587,0.10301255,1071,311,1382,0.039688694,2621,0.07527067,4986,1805,1588,8379,0.240630654,637,1027,413,929,1751,4757,0.136612963,2753,2926,4952,10631,0.30530427,1386,0.039803567,11,3,14,0.000402056
2011,Gateshead,E14000709,42425,39,50,89,0.00209782,4328,491,141,126,583,5669,0.133624042,893,1063,1031,2987,0.0704066,372,239,611,0.014401886,3043,0.071726576,6936,2196,2643,11775,0.277548615,1450,1225,599,2023,2198,7495,0.176664702,3146,3819,6146,13111,0.309039481,1959,0.046175604,6,8,14,0.000329994
2011,Hartlepool,E14000733,37767,139,267,406,0.010750126,4410,399,74,118,772,5773,0.152858315,1363,1013,671,3047,0.0806789,666,539,1205,0.031906161,3764,0.099663728,5657,1575,1938,9170,0.242804565,645,789,588,1511,1603,5136,0.135991739,2552,3641,5829,12022,0.318320227,1638,0.043371197,10,6,16,0.00042365
2011,Hexham,E14000746,37032,1515,142,1657,0.044745085,2874,227,69,585,633,4388,0.118492115,378,394,588,1360,0.036724995,149,265,414,0.01117952,2723,0.073531,4928,1568,2246,8742,0.236066105,1064,911,677,2742,1240,6634,0.179142363,2337,3952,5616,11905,0.321478721,2042,0.055141499,34,7,41,0.001107151
2011,Houghton and Sunderland South,E14000754,38077,69,148,217,0.005698978,4166,286,105,98,325,4980,0.130787615,480,2007,865,3352,0.088032145,931,311,1242,0.032618116,3300,0.086666492,5901,2030,1748,9679,0.254195446,822,1577,713,1178,1813,6103,0.160280484,3034,3373,5309,11716,0.307692308,1639,0.043044357,11,4,15,0.000393939
2011,Jarrow,E14000765,37711,30,223,253,0.006708918,4413,206,197,119,456,5391,0.142955636,942,1507,986,3435,0.091087481,321,269,590,0.015645302,3325,0.08817056,5613,1926,1735,9274,0.24592294,1017,1178,524,1579,1708,6006,0.159263875,3574,3362,5291,12227,0.324229005,1611,0.042719631,6,6,12,0.00031821
2011,Middlesbrough,E14000819,35117,55,185,240,0.006834297,2798,665,56,39,473,4031,0.11478771,759,293,513,1565,0.04456531,276,249,525,0.014950024,2964,0.084403565,6052,2160,2706,10918,0.310903551,824,837,429,1266,1794,5150,0.146652618,1875,3375,5713,10963,0.312184982,1539,0.043824928,10,10,20,0.000569525
2011,Middlesbrough South and East Cleveland,E14000820,39765,213,816,1029,0.025877028,3795,414,111,56,757,5133,0.129083365,1359,515,583,2457,0.061788005,415,272,687,0.017276499,3404,0.085602917,5974,1759,2133,9866,0.248107632,778,865,533,2038,1547,5761,0.144876147,2567,4269,6578,13414,0.337331824,1785,0.044888721,14,10,24,0.000603546
2011,Newcastle upon Tyne Central,E14000831,36664,38,43,81,0.002209252,2019,334,60,42,259,2714,0.074023565,344,424,556,1324,0.036111717,211,170,381,0.010391665,2103,0.057358717,5441,2012,3880,11333,0.309104298,1283,1107,477,2065,2010,6942,0.189341043,2140,3723,6097,11960,0.326205542,1821,0.049667249,14,10,24,0.000654593
2011,Newcastle upon Tyne East,E14000832,41028,56,94,150,0.00365604,2275,271,65,31,341,2983,0.072706444,428,518,621,1567,0.038193429,225,174,399,0.009725066,2190,0.053378181,6069,1424,4095,11588,0.28244126,1673,1092,601,2846,1878,8090,0.197182412,2943,4674,6343,13960,0.340255435,2351,0.05730233,18,7,25,0.00060934
2011,Newcastle upon Tyne North,E14000833,41643,59,94,153,0.003674087,3021,446,77,95,501,4140,0.099416469,550,650,702,1902,0.045673943,255,193,448,0.010758111,3320,0.079725284,6269,2084,2339,10692,0.256753836,1514,1618,626,2396,1844,7998,0.192061091,3434,4265,6354,14053,0.337463679,1924,0.046202243,25,9,34,0.000816464
2011,North Durham,E14000840,40075,110,96,206,0.005140362,4886,477,102,97,626,6188,0.15441048,929,1641,1014,3584,0.089432314,401,438,839,0.020935745,3373,0.084167187,6712,2053,2055,10820,0.269993762,823,1047,520,1528,1669,5587,0.1394136,3891,3519,5255,12665,0.316032439,1688,0.042121023,7,4,11,0.000274485
2011,North Tyneside,E14000853,48978,57,185,242,0.004940994,4302,398,150,135,627,5612,0.114582057,782,1025,1185,2992,0.061088652,339,296,635,0.012965005,3845,0.078504635,7440,2429,2650,12519,0.255604557,1895,1624,576,2243,2378,8716,0.17795745,5539,4153,6888,16580,0.338519335,2112,0.043121401,20,7,27,0.000551268
2011,North West Durham,E14000856,42845,565,255,820,0.019138756,5655,826,132,186,673,7472,0.174396079,1244,1582,1012,3838,0.089578714,217,398,615,0.014354067,3741,0.087314739,6032,1906,2129,10067,0.23496324,833,821,568,1828,1560,5610,0.130937099,3733,4247,6534,14514,0.338755981,1796,0.041918544,20,7,27,0.000630179
2011,Redcar,E14000891,36019,99,512,611,0.016963269,3652,388,91,58,707,4896,0.13592826,1497,381,530,2408,0.066853605,492,303,795,0.022071684,3228,0.089619368,5928,1734,1893,9555,0.26527666,627,759,638,1584,1728,5336,0.148144035,2379,3263,5612,11254,0.312446209,1563,0.043393764,15,10,25,0.000694078
