,,,,,,,,,,,,,,,,,,,,,,,,,
column reference number,52,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
"Claimant data by constituency: JSA claimants and Universal Credit claimants required to seek work, March 2017",,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
"Notes: Figures include JSA claimants and people claiming Universal Credit (UC) who are required to seek work. UC figures are provisional. All data are rounded to the nearest five, except for data on claims by type (JSA claimants only; UC claimants only). The number of JSA claimants and the number of UC claimants may not sum to the total claimant count as data are taken from different sources and are independently rounded.",,,,,,,,,,,,,,,,,,,,,,,,,
Claimant rate is the proportion of the economically active population aged 16-64 (as estimated by the Library) who are claiming JSA or claiming UC and required to seek work.,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,Claimant levels,,,,,Claimant rate,,,Claims by age group,,,,,,,,,,Claims by type,,
 ,,,,,All claimants,,,,,All claimants,,,18-24,,,,,50 and over,,,,,JSA only,UC only,
,,,,,Number,,Annual change,,,Rate,Rank,,Number,,Annual change,,,Number,,Annual change,,,,,
,,,,,,,level,%,,%,1=highest,,                                                                                      ,,level,%,,,,level,%,,,,
United Kingdom,Great Britain,,Total,Youth,"821,720",,"15,950",2,,2.6,,,"173,240",,"-4,415",-2.5,,"204,605",,"19,460",10.5,,"523,190","298,606",
Aberavon,Aberavon,Wales,"1,083.61803963426",343.61803963426,"1,080",,-80,-7,,3.6,140,,340,,5,1.5,,215,,5,2.4,,601,477,
Aberconwy,Aberconwy,Wales,687.57943201797,167.57943201797,685,,-85,-11,,2.6,285,,165,,-20,-10.8,,180,,-10,-5.3,,379,307,
Aberdeen North,Aberdeen North,Scotland,"2,178.85383765023",368.85383765023,"2,175",,430,25,,3.9,124,,365,,85,30.4,,495,,125,33.8,,"1,597",575,
Aberdeen South,Aberdeen South,Scotland,"1,412.61987939511",212.61987939511,"1,410",,170,14,,2.6,279,,210,,35,20.0,,425,,95,28.8,,"1,056",354,
Airdrie and Shotts,Airdrie and Shotts,Scotland,"1,698.98832618632",413.98832618632,"1,695",,-105,-6,,4.0,113,,410,,-70,-14.6,,385,,20,5.5,,"1,019",675,
Aldershot,Aldershot,England,636.08857299666,116.08857299666,635,,30,5,,1.1,568,,115,,-10,-8.0,,180,,10,5.9,,435,205,
Aldridge-Brownhills,Aldridge-Brownhills,England,782.16797480541,192.16797480541,780,,105,16,,2.2,355,,190,,35,22.6,,210,,35,20.0,,445,339,
Altrincham and Sale West,Altrincham and Sale West,England,671.36727665641,116.36727665641,670,,-10,-1,,1.4,514,,115,,-20,-14.8,,185,,0,0.0,,353,317,
Alyn and Deeside,Alyn and Deeside,Wales,831.93314032519,176.93314032519,830,,15,2,,1.9,388,,175,,-30,-14.6,,220,,45,25.7,,402,433,
Amber Valley,Amber Valley,England,861.97987932858,211.97987932858,860,,-35,-4,,2.0,380,,210,,-5,-2.3,,210,,-10,-4.5,,536,323,
Angus,Angus,Scotland,"1,373.28952664158",373.28952664158,"1,370",,95,7,,3.3,184,,370,,45,13.8,,335,,20,6.3,,955,415,
Arfon,Arfon,Wales,"1,013.53935404899",293.53935404899,"1,010",,-35,-3,,3.5,147,,290,,15,5.5,,220,,-20,-8.3,,639,369,
Argyll and Bute,Argyll and Bute,Scotland,917.23472950038,187.23472950038,915,,-40,-4,,2.2,342,,185,,-5,-2.6,,305,,20,7.0,,622,297,
Arundel and South Downs,Arundel and South Downs,England,370.82156182712,70.82156182712,370,,30,9,,0.8,619,,70,,-5,-6.7,,125,,30,31.6,,240,130,
Ashfield,Ashfield,England,"1,312.65264943186",322.65264943186,"1,310",,-65,-5,,2.7,272,,320,,-35,-9.9,,315,,15,5.0,,869,437,
Ashford,Ashford,England,"1,257.15065731662",322.15065731662,"1,255",,180,17,,2.2,358,,320,,65,25.5,,310,,50,19.2,,855,398,
Ashton-under-Lyne,Ashton-under-Lyne,England,"1,683.86950537905",408.86950537905,"1,680",,-5,0,,3.9,121,,405,,-40,-9.0,,345,,25,7.8,,777,904,
Aylesbury,Aylesbury,England,741.19291840778,141.19291840778,740,,95,15,,1.2,550,,140,,5,3.7,,190,,25,15.2,,518,219,
"Ayr, Carrick and Cumnock","Ayr, Carrick and Cumnock",Scotland,"1,814.34844776515",449.34844776515,"1,810",,75,4,,4.3,90,,445,,70,18.7,,405,,20,5.2,,"1,180",630,
Banbury,Banbury,England,490.77344451861,120.77344451861,490,,25,5,,0.8,626,,120,,5,4.3,,115,,15,15.0,,267,220,
Banff and Buchan,Banff and Buchan,Scotland,"1,247.69244407213",292.69244407213,"1,245",,25,2,,2.7,268,,290,,-10,-3.3,,315,,35,12.5,,848,397,
Barking,Barking,England,"2,188.54201729929",448.54201729929,"2,185",,90,4,,3.5,146,,445,,5,1.1,,525,,95,22.1,,"1,631",554,
Barnsley Central,Barnsley Central,England,"1,478.41593937995",318.41593937995,"1,475",,-95,-6,,3.4,163,,315,,-50,-13.7,,355,,25,7.6,,"1,080",393,
Barnsley East,Barnsley East,England,"1,433.24700254471",323.24700254471,"1,430",,-95,-6,,3.2,189,,320,,-50,-13.5,,345,,25,7.8,,"1,030",401,
Barrow and Furness,Barrow and Furness,England,"1,288.17961903432",303.17961903432,"1,285",,-55,-4,,3.2,195,,300,,-50,-14.3,,300,,20,7.1,,686,602,
Basildon and Billericay,Basildon and Billericay,England,"1,047.27990821786",242.27990821786,"1,045",,-125,-11,,2.3,333,,240,,-45,-15.8,,275,,20,7.8,,663,379,
Basingstoke,Basingstoke,England,776.23274980539,161.23274980539,775,,60,8,,1.2,535,,160,,45,39.1,,215,,25,13.2,,599,176,
Bassetlaw,Bassetlaw,England,"1,122.24546986055",267.24546986055,"1,120",,35,3,,2.2,339,,265,,5,1.9,,285,,30,11.8,,750,372,
Bath,Bath,England,"1,052.25260406216",192.25260406216,"1,050",,345,49,,2.3,338,,190,,45,31.0,,280,,105,60.0,,133,917,
Batley and Spen,Batley and Spen,England,"1,613.05012085985",408.05012085985,"1,610",,-25,-2,,3.1,212,,405,,-25,-5.8,,330,,25,8.2,,"1,007",604,
Battersea,Battersea,England,"1,266.74967717742",161.74967717742,"1,265",,-25,-2,,1.7,425,,160,,-25,-13.5,,385,,35,10.0,,898,365,
Beaconsfield,Beaconsfield,England,450.91109038643,60.91109038643,450,,30,7,,0.9,602,,60,,-5,-7.7,,150,,25,20.0,,336,115,
Beckenham,Beckenham,England,511.09894412231,76.09894412231,510,,80,19,,1.1,566,,75,,10,15.4,,165,,40,32.0,,398,107,
Bedford,Bedford,England,"1,818.47374147191",298.47374147191,"1,815",,-35,-2,,3.5,158,,295,,-40,-11.9,,485,,30,6.6,,"1,379",436,
Belfast East,Belfast East,Northern Ireland,"1,723.75992032855",353.75992032855,"1,720",,-255,-13,,3.8,130,,350,,-135,-27.8,,450,,15,3.4,,"1,720",..,
