,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
"Claimant data by constituency: JSA claimants and Universal Credit claimants required to seek work, December 2016",,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
"Notes: Figures include JSA claimants and people claiming Universal Credit (UC) who are required to seek work. UC figures are provisional. All data are rounded to the nearest five, except for data on claims by type (JSA claimants only; UC claimants only). The number of JSA claimants and the number of UC claimants may not sum to the total claimant count as data are taken from different sources and are independently rounded.",,,,,,,,,,,,,,,,,,,,,,,,,
Claimant rate is the proportion of the economically active population aged 16-64 (as estimated by the Library) who are claiming JSA or claiming UC and required to seek work.,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,Claimant levels,,,,,Claimant rate,,,Claims by age group,,,,,,,,,,Claims by type,,
 ,,,,,All claimants,,,,,All claimants,,,18-24,,,,,50 and over,,,,,JSA only,UC only,
,,,,,Number,,Annual change,,,Rate,Rank,,Number,,Annual change,,,Number,,Annual change,,,,,
,,,,,,,level,%,,%,1=highest,,                                                                                      ,,level,%,,,,level,%,,,,
United Kingdom,Great Britain,,Total,Youth,"753,185",,"19,240",3,,2.4,,,"161,235",,"3,140",2.0,,"187,570",,"18,020",10.6,,"498,689","254,536",
Aberavon,Aberavon,Wales,958.19928504696,288.19928504696,955,,-25,-3,,3.2,157,,285,,25,9.6,,185,,-5,-2.6,,564,392,
Aberconwy,Aberconwy,Wales,642.40998027956,127.40998027956,640,,-30,-4,,2.4,271,,125,,-45,-26.5,,180,,15,9.1,,374,267,
Aberdeen North,Aberdeen North,Scotland,"1,913.38428961468",298.38428961468,"1,910",,505,36,,3.4,135,,295,,105,55.3,,430,,135,45.8,,"1,394",516,
Aberdeen South,Aberdeen South,Scotland,"1,257.33187846870",177.33187846870,"1,255",,350,39,,2.3,293,,175,,60,52.2,,365,,115,46.0,,948,308,
Airdrie and Shotts,Airdrie and Shotts,Scotland,"1,538.61184701829",393.61184701829,"1,535",,-110,-7,,3.6,117,,390,,-5,-1.3,,350,,10,2.9,,941,594,
Aldershot,Aldershot,England,570.97714426472,115.97714426472,570,,-15,-3,,1.0,571,,115,,5,4.5,,170,,0,0.0,,403,162,
Aldridge-Brownhills,Aldridge-Brownhills,England,767.12628298223,212.12628298223,765,,120,19,,2.1,328,,210,,60,40.0,,200,,45,29.0,,435,329,
Altrincham and Sale West,Altrincham and Sale West,England,661.34686954213,121.34686954213,660,,45,7,,1.3,480,,120,,-10,-7.7,,180,,10,5.9,,343,318,
Alyn and Deeside,Alyn and Deeside,Wales,796.85162235967,176.85162235967,795,,20,3,,1.9,371,,175,,-25,-12.5,,185,,20,12.1,,379,417,
Amber Valley,Amber Valley,England,756.73814987567,186.73814987567,755,,15,2,,1.7,389,,185,,30,19.4,,180,,-5,-2.7,,495,262,
Angus,Angus,Scotland,"1,258.01339849284",333.01339849284,"1,255",,180,17,,3.0,188,,330,,60,22.2,,320,,65,25.5,,918,340,
Arfon,Arfon,Wales,923.22396606443,243.22396606443,920,,-40,-4,,3.2,155,,240,,-5,-2.0,,210,,-5,-2.3,,651,274,
Argyll and Bute,Argyll and Bute,Scotland,852.07597822440,162.07597822440,850,,-25,-3,,2.1,335,,160,,-15,-8.6,,295,,30,11.3,,617,234,
Arundel and South Downs,Arundel and South Downs,England,330.73274433230,80.73274433229,330,,25,8,,0.7,615,,80,,25,45.5,,120,,25,26.3,,207,120,
Ashfield,Ashfield,England,"1,172.36916017960",277.36916017960,"1,170",,5,0,,2.4,283,,275,,-5,-1.8,,295,,30,11.3,,790,378,
Ashford,Ashford,England,"1,121.91931170886",286.91931170886,"1,120",,140,14,,1.9,355,,285,,30,11.8,,265,,40,17.8,,767,353,
Ashton-under-Lyne,Ashton-under-Lyne,England,"1,543.54704659746",383.54704659746,"1,540",,55,4,,3.5,123,,380,,-15,-3.8,,310,,25,8.8,,720,823,
Aylesbury,Aylesbury,England,686.10425555314,116.10425555314,685,,150,28,,1.1,537,,115,,20,21.1,,185,,40,27.6,,483,204,
"Ayr, Carrick and Cumnock","Ayr, Carrick and Cumnock",Scotland,"1,749.19228803877",424.19228803878,"1,745",,-40,-2,,4.2,78,,420,,5,1.2,,395,,30,8.2,,"1,179",564,
Banbury,Banbury,England,410.64716786251,105.64716786251,410,,35,9,,0.6,634,,105,,25,31.3,,95,,-5,-5.0,,201,208,
Banff and Buchan,Banff and Buchan,Scotland,"1,062.29236202125",242.29236202126,"1,060",,215,25,,2.3,297,,240,,15,6.7,,255,,90,54.5,,712,345,
Barking,Barking,England,"2,058.33127942794",438.33127942794,"2,055",,20,1,,3.3,142,,435,,30,7.4,,500,,65,14.9,,"1,568",485,
Barnsley Central,Barnsley Central,England,"1,282.96434061447",272.96434061447,"1,280",,-140,-10,,3.0,194,,270,,-60,-18.2,,315,,25,8.6,,949,331,
Barnsley East,Barnsley East,England,"1,322.99723311819",302.99723311819,"1,320",,-5,0,,3.0,191,,300,,-5,-1.6,,315,,40,14.5,,976,347,
Barrow and Furness,Barrow and Furness,England,"1,243.06827050783",308.06827050783,"1,240",,-80,-6,,3.1,177,,305,,-10,-3.2,,280,,-10,-3.4,,639,601,
Basildon and Billericay,Basildon and Billericay,England,"1,032.24718226258",262.24718226258,"1,030",,-20,-2,,2.2,304,,260,,5,2.0,,245,,5,2.1,,647,386,
Basingstoke,Basingstoke,England,641.01801274252,121.01801274252,640,,50,8,,1.0,557,,120,,20,20.0,,190,,20,11.8,,502,140,
Bassetlaw,Bassetlaw,England,"1,087.17529892740",252.17529892741,"1,085",,10,1,,2.2,318,,250,,-5,-2.0,,270,,30,12.5,,745,343,
Bath,Bath,England,891.90935010983,161.90935010983,890,,280,46,,1.9,358,,160,,30,23.1,,225,,80,55.2,,139,754,
Batley and Spen,Batley and Spen,England,"1,442.72805840881",362.72805840881,"1,440",,-15,-1,,2.7,224,,360,,5,1.4,,305,,30,10.9,,939,499,
Battersea,Battersea,England,"1,216.68051997673",166.68051997674,"1,215",,10,1,,1.7,405,,165,,-20,-10.8,,350,,40,12.9,,877,338,
Beaconsfield,Beaconsfield,England,425.86047425385,70.86047425385,425,,55,15,,0.9,593,,70,,10,16.7,,135,,40,42.1,,321,104,
Beckenham,Beckenham,England,476.02352638843,76.02352638843,475,,60,14,,1.0,556,,75,,10,15.4,,140,,20,16.7,,371,106,
Bedford,Bedford,England,"1,598.05268189956",248.05268189956,"1,595",,-125,-7,,3.1,182,,245,,-55,-18.3,,435,,0,0.0,,"1,261",332,
Belfast East,Belfast East,Northern Ireland,"1,703.71620032473",338.71620032473,"1,700",,-170,-9,,3.7,107,,335,,-105,-23.9,,450,,50,12.5,,"1,702",..,
