ONS ID,Constituency,estimate,result,leave,FIGURE TO USE
E14000582,Boston and Skegness,75.60%,No,0.00%,0.7560
E14001011,Walsall North,71.20%,Yes,74.20%,0.7420
E14000642,Clacton,73.00%,No,0.00%,0.7300
E14000933,South Basildon and East Thurrock,73.00%,No,0.00%,0.7300
E14000771,Kingston upon Hull East,72.80%,No,0.00%,0.7280
E14000622,Castle Point,72.70%,Yes,72.70%,0.7270
E14000973,Stoke-on-Trent North,72.10%,No,0.00%,0.7210
E14000669,Doncaster North,71.70%,No,0.00%,0.7170
E14000717,Great Yarmouth,71.50%,Yes,71.50%,0.7150
E14000716,Great Grimsby,69.20%,Yes,71.40%,0.7140
E14000671,Dudley North,69.80%,Yes,71.40%,0.7140
E14000974,Stoke-on-Trent South,71.10%,No,0.00%,0.7110
E14000939,South Holland and The Deepings,71.10%,No,0.00%,0.7110
E14000542,Barnsley East,71.00%,No,0.00%,0.7100
E14000810,Mansfield,70.90%,Yes,70.90%,0.7090
E14000535,Ashfield,70.50%,No,0.00%,0.7050
E14000672,Dudley South,69.70%,Yes,70.40%,0.7040
E14000577,Bolsover,70.40%,No,0.00%,0.7040
E14000657,Dagenham and Rainham,70.30%,No,0.00%,0.7030
E14001028,Wentworth and Dearne,70.30%,No,0.00%,0.7030
E14000995,Thurrock,70.30%,No,0.00%,0.7030
E14000733,Hartlepool,69.60%,Yes,69.60%,0.6960
E14000643,Cleethorpes,69.50%,No,0.00%,0.6950
E14000751,Hornchurch and Upminster,69.80%,Yes,69.50%,0.6950
E14000842,North East Cambridgeshire,69.40%,No,0.00%,0.6940
E14000900,Romford,67.40%,Yes,69.30%,0.6930
E14000836,"Normanton, Pontefract and Castleford",70.30%,Yes,69.30%,0.6930
E14000798,Louth and Horncastle,68.90%,No,0.00%,0.6890
E14000618,Cannock Chase,68.90%,Yes,68.90%,0.6890
E14000914,Scunthorpe,68.70%,No,0.00%,0.6870
E14001030,West Bromwich West,68.70%,No,0.00%,0.6870
E14000667,Don Valley,68.50%,No,0.00%,0.6850
E14000904,Rotherham,68.80%,Yes,68.30%,0.6830
E14000546,Bassetlaw,68.30%,No,0.00%,0.6830
E14000541,Barnsley Central,68.20%,No,0.00%,0.6820
E14001029,West Bromwich East,68.20%,No,0.00%,0.6820
E14001050,Wolverhampton South East,67.70%,Yes,68.10%,0.6810
E14000740,Hemsworth,67.40%,Yes,68.10%,0.6810
E14000773,Kingston upon Hull West and Hessle,68.00%,No,0.00%,0.6800
E14000573,Blackpool South,67.80%,No,0.00%,0.6780
E14000531,Aldridge-Brownhills,68.70%,Yes,67.80%,0.6780
E14000854,North Warwickshire,67.80%,No,0.00%,0.6780
E14000729,Harlow,67.70%,No,0.00%,0.6770
E14001049,Wolverhampton North East,67.50%,Yes,67.70%,0.6770
E14000891,Redcar,67.70%,No,0.00%,0.6770
E14000888,Rayleigh and Wickford,67.70%,No,0.00%,0.6770
E14000544,Basildon and Billericay,67.10%,No,0.00%,0.6710
E14000572,Blackpool North and Cleveleys,66.90%,No,0.00%,0.6690
E14000903,Rother Valley,66.50%,Yes,66.70%,0.6670
E14000668,Doncaster Central,66.70%,No,0.00%,0.6670
E14000952,South West Norfolk,66.70%,No,0.00%,0.6670
E14000609,Burnley,66.60%,Yes,66.60%,0.6660
E14000722,Halesowen and Rowley Regis,66.60%,No,0.00%,0.6660
E14000879,"Plymouth, Moor View",68.50%,Yes,66.40%,0.6640
E14000970,Stockton North,66.30%,No,0.00%,0.6630
E14000920,Sheffield South East,66.30%,No,0.00%,0.6630
E14000596,Brigg and Goole,66.20%,No,0.00%,0.6620
